run_date,event_date,company,drug,event_type,title,source,link,nct_id,status
2026-03-19,,Idorsia / Viatris,Selatogrel,press,2026-01-20-Viatris-Expands-Innovative-Portfolio-in-Cardiovascular-Diseases-with-the-Companys-First-Launch-of-Inpefa-R-Sotagliflozin-for-the-Treatment-of-Heart-Failure,newsroom.viatris.com,https://newsroom.viatris.com/2026-01-20-Viatris-Expands-Innovative-Portfolio-in-Cardiovascular-Diseases-with-the-Companys-First-Launch-of-Inpefa-R-Sotagliflozin-for-the-Treatment-of-Heart-Failure,,
2026-03-19,2026-01-30,Nyrada,Xolatryp,trial,Prevention of Reperfusion Injury Outcomes Through Effective Cardioprotection Targeting Myocardial Infarction,clinicaltrials.gov,https://clinicaltrials.gov/study/NCT07362446,NCT07362446,NOT_YET_RECRUITING
2026-03-19,,Nyrada,Xolatryp,press,Untitled,www.nyrada.com,https://www.nyrada.com/,,
2026-03-19,,Nyrada,Xolatryp,press,Home,www.nyrada.com,https://www.nyrada.com/site/content/,,
2026-03-19,,Nyrada,Xolatryp,press,About Us,www.nyrada.com,https://www.nyrada.com/site/About-Us,,
2026-03-19,,Nyrada,Xolatryp,press,Company Overview,www.nyrada.com,https://www.nyrada.com/site/About-Us/company-overview,,
2026-03-19,,Nyrada,Xolatryp,press,Board of Directors,www.nyrada.com,https://www.nyrada.com/site/About-Us/board-of-directors,,
2026-03-19,,Nyrada,Xolatryp,press,Senior Management,www.nyrada.com,https://www.nyrada.com/site/About-Us/management,,
2026-03-19,,Nyrada,Xolatryp,press,Scientific Advisory Board,www.nyrada.com,https://www.nyrada.com/site/About-Us/scientific-advisory-board,,
2026-03-19,,Nyrada,Xolatryp,press,Corporate Governance,www.nyrada.com,https://www.nyrada.com/site/About-Us/corporate-governance,,
2026-03-19,,Nyrada,Xolatryp,press,Programs,www.nyrada.com,https://www.nyrada.com/site/programs,,
2026-03-19,,Nyrada,Xolatryp,press,Xolatryp,www.nyrada.com,https://www.nyrada.com/site/programs/nyr-bi03,,
2026-03-19,,Nyrada,Xolatryp,press,Myocardial Ischemia and Arrhythmia Control,www.nyrada.com,https://www.nyrada.com/site/programs/myocardial-ischemia,,
2026-03-19,,Nyrada,Xolatryp,press,Stroke,www.nyrada.com,https://www.nyrada.com/site/programs/stroke,,
2026-03-19,,Nyrada,Xolatryp,press,Traumatic Brain Injury,www.nyrada.com,https://www.nyrada.com/site/programs/traumatic-brain-injury,,
2026-03-19,,Nyrada,Xolatryp,press,Investors,www.nyrada.com,https://www.nyrada.com/site/investors,,
2026-03-19,,Nyrada,Xolatryp,press,Investor Welcome,www.nyrada.com,https://www.nyrada.com/site/investors/investor-welcome,,
2026-03-19,2026-03-18,Verseon,VE-1902,news,The Outer Worlds 2 Hotfix 1.1.0.1 Released as Update 1.100.001 - MP1st,MP1st,https://news.google.com/rss/articles/CBMimgFBVV95cUxQZjV1WnFzUnE5X2lFSUpCNmUxMkRXc2drc1A4LW9IdnhFUXdQMlZ6cFpHZnFqTHJLTFYteVczSHF5emRQd3lkaklsaDZPZHlUam5PN3RDd2pOYWZDc29EaWhzMDF4SlB5ZzNmM3VsM2RFNVRLRjZwRVNsaEtGQXNOOV9UZ1VWVnIxbEdVRzJCUC1VdDhnaXI2LUtn?oc=5,,
2026-03-19,2026-03-18,Verseon,VE-1902,news,Farming on the moon or Mars? How recycled sewage could turn regolith into crop soil - MSN,MSN,https://news.google.com/rss/articles/CBMikwJBVV95cUxQWnppYjNtdW9lMXpYMnJwSWZ1S2hFZkU1cjVQbTItdUh5UWJ6bDltOXNtcHV0R0JLSU5CSVJ5ck05dHNoczFHVVEyNUpoQzhzQkMyeVQyaVZUNWRJMm9UakdsY1M3WmVya1J0VnFna1g1clBJa2xnbG5fcElHZU9NMnRmY2dBTDBodktuREI3MVlRWTRXYkpTTGN5cDhraUE2RC1XdExiMFZqSkQ2Q3U5VFItalVpS0ZSU0RfbjZNTTZweTJSLWxsOEt1UjBwVFFGcnNEaVAwSVZqeVpLVFkwN0YyWkJZOXdCVEk2VzZlX29SdkE2RnF5SjFxTHpKbjB4akhyQUhwZUFtSzkyV3RmMTlvZw?oc=5,,
2026-03-19,2026-03-18,Verseon,VE-1902,news,Study shows breath test can confirm bacterial infection - EurekAlert!,EurekAlert!,https://news.google.com/rss/articles/CBMiXEFVX3lxTFAtVUYzclEtOG5PYmhhUFNBVnZuWGZtaERMazh2akxRTXBWQTNtZnRLR2p1RFB1SWRTQ3VOR0VYclk0WHBmeGNIUVZ2T0tlcnhwRTJpOW1kT0p5amJU?oc=5,,
2026-03-19,2026-03-18,Verseon,VE-1902,news,Untitled Project - Newsshooter,Newsshooter,https://news.google.com/rss/articles/CBMingFBVV95cUxOeGFFVnJQbUx6LU5LMF9maUZ6TERIeUtuYXBFU2hFMkF5ZXhGMkIzam40ZFd6Y01nblVIR2c3N3c2dFVoVlNsd1V0Q0lzc3Z5bXo3dDFBc2VfMW9TT2tCcEFCTzB4bEJ3SzNXWjhlU3RPclRxb3VQaE5SUXluZkNld3NCckN5VnA3XzlCYWdsVkdwazJpRG1FMVFDc3E5QQ?oc=5,,
2026-03-19,2026-03-18,Verseon,VE-1902,news,Nikon ZR firmware update version 1.11 - Newsshooter,Newsshooter,https://news.google.com/rss/articles/CBMigwFBVV95cUxNdGUyT1JGVi1yQ2JfQ19xc2VmU1JPWjhET2hEWlZhU3pUaWg3Sl9OS2hCWTVuVlBJS243TmdNcjBfRlFyU0t4X19kb2U2TkxyZTdDdS12RGlMcXdXWVZpNDYtRTYyTlJINjVzMDM0Rmd5RkQzSU9aNFpZaERUQVlRc2xDcw?oc=5,,
2026-03-19,2026-03-16,Verseon,VE-1902,news,ACS backs forecourt retailers over fuel price volatility - Talking Retail,Talking Retail,https://news.google.com/rss/articles/CBMiqwFBVV95cUxOQ0IxX3B4YXJxM0NoajJGTUtMSW1fVFFBQnZiX091SEtzc2p4cGc3b2pFUWhaVVk4U3h4Vmd6MERPY3hnX2NhMERIWGFJX1hCY1ZSVC02LVZDaDBVcTN2ek1TbFk3VGpDenVIbGtlN09WNmZzcGdjN0tJMXpyMGlmSW50RG00SkF4eGNtcWNDTGRXUzEzWUNfRzhpVUtUV1pSM0sxYmUya1JHcjg?oc=5,,
2026-03-19,2026-03-13,Verseon,VE-1902,news,"Photoinduced TBADT-Catalyzed Alkylation of Alkyl (E)-3-(2-Methacrylamidoaryl)acrylates to Access 3,4-Dihydroquinolin-2-(1H)-ones - ACS Publications",ACS Publications,https://news.google.com/rss/articles/CBMiYkFVX3lxTE9wY0d5M1p4RnFXMWlkbGZvVzR4SkxPLU12TTFheEQyU0JwamE3dnV2M0tNUUp3VHBZMnJWQWlPWUszcUlFc0lJb0g3anZCbFpuRGE3NEt1TUhLQlNFYVJNSFV3?oc=5,,
2026-03-19,2026-03-12,Verseon,VE-1902,news,Frequently Requested Statistics on Immigrants and Immigration in the United States - migrationpolicy.org,migrationpolicy.org,https://news.google.com/rss/articles/CBMisgFBVV95cUxQVXVXak1VQ01vSmZVM1NCOWd6elJ5ZDZEdTVQcjFGTURMNEItR2FxclBKVWpRamUzazVlWW42TGZ2TGlwOWt6WmJpUWlJQnZDemRmUUtzaUVuX2RtNGNsZDRZb1czSnZQSmhHaG9sczdHdVZfRU5DcllTenVFYnJDX0JINnhXYkt1VjIxNDlvSGY4czhpZl9sU1BDRm5VNWptRV95cXhWMjFiMDlEOW1SUnl3?oc=5,,
2026-03-19,2026-03-12,Verseon,VE-1902,news,Commission finds ‘serious corrupt conduct’ in Robodebt rollout - Information Age | ACS,Information Age | ACS,https://news.google.com/rss/articles/CBMipAFBVV95cUxNdTNBLVlRVHlCLWFaenhZNy02bzZFclFXUTliNWNtbk96cllmYUR5bEw1QmJ6TjBDZEdmR08tTjlaUFE2SnNaZjRnQWpXY1Q0ZWNsTWtsLVBQWFNJRzJObEJwUnlpZ08ybE8xRE9vT3pBTW5oSHNmdjNEMUNES3BPM2pSREFJLUE4V08wM1ZIMG1RVFVZMVVZc1lfZ0ExSUlSS2U2VQ?oc=5,,
2026-03-19,2026-03-17,Roche,Selnoflast,news,March 2026 FIFA windows: Benin’s squad for matches against Palestine and Guinea - beninwebtv.com,beninwebtv.com,https://news.google.com/rss/articles/CBMipwFBVV95cUxNbV9abzhYamE4b3ZTc3IwYVYyZ0NPTWk1MV8wMVJwaWhLWC1HR29RWm0ybnVRdmtiM1VwZ055N2l5MU5NQjd1QmRWQ2R3R2VhN3BWc2x1QjhOQWtnajNDbGdZbXNHbExGS0VQemx0TzY2VVBBamRTSWRITUZkcEw2WGpwakE5ZWlGYTA1ODUzOEZ4UHhtVjVZVlF2UHNnSkNlY0pieVo0Zw?oc=5,,
2026-03-19,2021-07-28,Serpin,SP16,trial,SP16 SERPIN-like Peptide Administration in Healthy Individuals,clinicaltrials.gov,https://clinicaltrials.gov/study/NCT03651089,NCT03651089,COMPLETED
2026-03-19,2023-08-03,Nexcel,NP-011,trial,A Study of NP-011 in Healthy Volunteers,clinicaltrials.gov,https://clinicaltrials.gov/study/NCT05387499,NCT05387499,COMPLETED
2026-03-19,2026-02-24,Cyclarity,UDP-003,trial,Placebo-controlled Study of Single and Multiple Ascending Doses of UDP-003 in Healthy Human Participants and Patients,clinicaltrials.gov,https://clinicaltrials.gov/study/NCT06813339,NCT06813339,RECRUITING
